hpo_id	hpo_name	ncbi_gene_id	gene_symbol	disease_id
HP:0002188	Delayed CNS myelination	199857	ALG14	OMIM:619031
HP:0002188	Delayed CNS myelination	199857	ALG14	OMIM:619036
HP:0002188	Delayed CNS myelination	9131	AIFM1	OMIM:300232
HP:0002188	Delayed CNS myelination	26235	FBXL4	OMIM:615471
HP:0002188	Delayed CNS myelination	8367	H4C5	OMIM:619950
HP:0002188	Delayed CNS myelination	104	ADARB1	OMIM:618862
HP:0002188	Delayed CNS myelination	375	ARF1	OMIM:618185
HP:0002188	Delayed CNS myelination	2775	GNAO1	OMIM:615473
HP:0002188	Delayed CNS myelination	2775	GNAO1	OMIM:617493
HP:0002188	Delayed CNS myelination	6873	TAF2	OMIM:615599
HP:0002188	Delayed CNS myelination	3145	HMBS	OMIM:620704
HP:0002188	Delayed CNS myelination	10059	DNM1L	OMIM:614388
HP:0002188	Delayed CNS myelination	55823	VPS11	ORPHA:466934
HP:0002188	Delayed CNS myelination	23417	MLYCD	OMIM:248360
HP:0002188	Delayed CNS myelination	4897	NRCAM	OMIM:619833
HP:0002188	Delayed CNS myelination	347734	SLC35B2	OMIM:620269
HP:0002188	Delayed CNS myelination	81570	CLPB	OMIM:619835
HP:0002188	Delayed CNS myelination	51343	FZR1	OMIM:620145
HP:0002188	Delayed CNS myelination	23126	POGZ	ORPHA:468678
HP:0002188	Delayed CNS myelination	23126	POGZ	OMIM:616364
HP:0002188	Delayed CNS myelination	51741	WWOX	OMIM:616211
HP:0002188	Delayed CNS myelination	51506	UFC1	OMIM:618076
HP:0002188	Delayed CNS myelination	283489	CHAMP1	OMIM:616579
HP:0002188	Delayed CNS myelination	387787	LIPT2	OMIM:617668
HP:0002188	Delayed CNS myelination	57465	TBC1D24	ORPHA:352596
HP:0002188	Delayed CNS myelination	4010	LMX1B	ORPHA:495818
HP:0002188	Delayed CNS myelination	6812	STXBP1	ORPHA:495818
HP:0002188	Delayed CNS myelination	6812	STXBP1	OMIM:612164
HP:0002188	Delayed CNS myelination	478	ATP1A3	OMIM:619606
HP:0002188	Delayed CNS myelination	166378	AFG2A	OMIM:616577
HP:0002188	Delayed CNS myelination	65082	VPS33A	OMIM:617303
